Subject,Sex,Peak_VO2_Dance,Peak_VO2_Walk
1,Male,67.1652884984,52.321945311
2,Male,53.9473672863,41.0019889689
3,Male,70.4735751614,49.3131872999
4,Male,76.7860697277,48.1791036046
5,Female,77.5539319156,48.5300324907
6,Female,65.1091432149,53.4395285412
7,Female,64.7995999601,61.3828701009
8,Female,47.7031446807,40.4699853612
9,Female,60.8393458024,53.4215442544
10,Male,86.3051171205,71.102294305
11,Female,62.8629044932,47.1438177573
12,Male,86.9547350572,70.6927324311
