VO2max,Body_Mass
4.1390998764,81
4.1084498062,63.5
4.1496500568,74.5
3.4765500984,64.5
4.24575,76.5
3.1537000465,61
5.0693000622,81.5
4.0722000504,66
3.6530000496,65
3.8590999432,74.5
3.3148500938,61.5
5.267100069,90.5
3.8088000526,69
4.5151001244,81.5
4.95,75
3.63,60
3.4060000992,65
3.9736999397,79
5.0479998779,80
4.1759998894,72.5
4.4404002075,68
4.503000145,95
3.8544001007,66
