Age,Maximum_Heart_Rate
21,210
22,205
25,192
25,170
20,202
20,190
25,192
21,200
22,205
22,206
19,190
21,204
19,200
20,205
19,210
29,203
21,205
22,204
20,202
23,192
21,204
21,204
20,198
26,211
25,204
22,180
